产品名称,品牌,尺码,原价,折扣,SPU,山茶花SKU,商家SKU
「出游季」Co.Bag 透明的夏 白色方形手提包,Camelia,44cmx38cmx14cm,399.0,269.0,1005162,10051620101,SSLAB18196B,
「出游季」Co.Bag 透明的夏 玫红色圆形手提包,Camelia,41cmx28cmx12cm,359.0,219.0,1005163,10051630101,SSLAB18194H,
「出游季」Co.Bag 透明的夏 黑色圆形手提包,Camelia,41cmx28cmx12cm,359.0,219.0,1005164,10051640101,SSLAB18195F,
Co.Bag 透明的夏 小号双带手提包,Camelia,38cmx48cmx13cm,229.0,119.0,1005165,10051650101,SSLAB18198X,
Co.Bag 透明的夏 大号双带手提包,Camelia,28cmx41cmx10cm,259.0,139.0,1005166,10051660101,SSLAB18195,
不对称褶皱上衣,Into This Dream,S,1280.0,899.0,1005167,10051670101,SSYVT18202P-S,
不对称褶皱上衣,Into This Dream,M,1280.0,899.0,1005167,10051670102,SSYVT18202P-M,
不对称褶皱上衣,Into This Dream,L,1280.0,899.0,1005167,10051670103,SSYVT18202P-L,
不对称拼接迷你短连衣裙,Into This Dream,S,1570.0,1099.0,1005168,10051680101,SSYOP18200ML-S,
不对称拼接迷你短连衣裙,Into This Dream,M,1570.0,1099.0,1005168,10051680102,SSYOP18200ML-M,
不对称拼接迷你短连衣裙,Into This Dream,L,1570.0,1099.0,1005168,10051680103,SSYOP18200ML-L,
度假柔美风情连衣裙  红色,Into This Dream,S,1570.0,1099.0,1005169,10051690101,SSYOP18205HL-S,
度假柔美风情连衣裙  红色,Into This Dream,M,1570.0,1099.0,1005169,10051690102,SSYOP18205HL-M,
度假柔美风情连衣裙  红色,Into This Dream,L,1570.0,1099.0,1005169,10051690103,SSYOP18205HL-L,
不对称荷叶边上衣 白色,Into This Dream,S,1280.0,899.0,1005170,10051700101,SSYBL18206B-S,
不对称荷叶边上衣 白色,Into This Dream,M,1280.0,899.0,1005170,10051700102,SSYBL18206B-M,
不对称荷叶边上衣 白色,Into This Dream,L,1280.0,899.0,1005170,10051700103,SSYBL18206B-L,
不对称荷叶边上衣 黑白格,Into This Dream,S,1280.0,899.0,1005170,10051700201,SSYBL18206HB-S,
不对称荷叶边上衣 黑白格,Into This Dream,M,1280.0,899.0,1005170,10051700202,SSYBL18206HB-M,
松紧高腰条纹短裤,Into This Dream,S,990.0,799.0,1005171,10051710101,SSYOPS18198BDK-S,
松紧高腰条纹短裤,Into This Dream,M,990.0,799.0,1005171,10051710102,SSYOPS18198BDK-M,
松紧高腰条纹短裤,Into This Dream,L,990.0,799.0,1005171,10051710103,SSYOPS18198BDK-L,
中高腰条纹阔腿裤,Into This Dream,S,1280.0,899.0,1005172,10051720101,SSYPT18207LB-S,
中高腰条纹阔腿裤,Into This Dream,M,1280.0,899.0,1005172,10051720102,SSYPT18207LB-M,
中高腰条纹阔腿裤,Into This Dream,L,1280.0,899.0,1005172,10051720103,SSYPT18207LB-L,
